arm,seed,threshold,tp,tn,fp,fn,accuracy,precision,recall,fpr,f1,brier,mean_margin,std_margin
BASE,42,0.032907,629,1650,15,23,0.983599,0.976708,0.964724,0.009009,0.970679,0.014176,0.236832,0.440841
BASE,101,0.043924,644,1653,12,8,0.991368,0.981707,0.987730,0.007207,0.984709,0.007345,0.234459,0.446507
BASE,202,0.341775,631,1664,1,21,0.990505,0.998418,0.967791,0.000601,0.982866,0.008830,-0.068924,0.443800
BASE,303,0.801190,642,1658,7,10,0.992663,0.989214,0.984663,0.004204,0.986933,0.006322,-0.519762,0.447949
BASE,404,0.020644,643,1650,15,9,0.989642,0.977204,0.986196,0.009009,0.981679,0.008884,0.256567,0.445435
DUP,42,0.025057,642,1657,8,10,0.992231,0.987692,0.984663,0.004805,0.986175,0.010950,0.249611,0.444844
DUP,101,0.060474,640,1658,7,12,0.991800,0.989181,0.981595,0.004204,0.985373,0.007945,0.216584,0.446018
DUP,202,0.985776,634,1661,4,18,0.990505,0.993730,0.972393,0.002402,0.982946,0.006835,-0.707210,0.447072
DUP,303,0.022120,635,1656,9,17,0.988779,0.986025,0.973926,0.005405,0.979938,0.010558,0.251380,0.443721
DUP,404,0.026119,640,1656,9,12,0.990937,0.986133,0.981595,0.005405,0.983859,0.008590,0.249330,0.445543
FLIP,42,0.248155,642,1656,9,10,0.991800,0.986175,0.984663,0.005405,0.985418,0.006920,0.031563,0.446827
FLIP,101,0.040640,635,1658,7,17,0.989642,0.989097,0.973926,0.004204,0.981453,0.014588,0.226551,0.439520
FLIP,202,0.301184,640,1662,3,12,0.993526,0.995334,0.981595,0.001802,0.988417,0.007127,-0.026221,0.443002
FLIP,303,0.057370,626,1658,7,26,0.985757,0.988942,0.960123,0.004204,0.974319,0.014945,0.213107,0.442316
FLIP,404,0.040334,637,1653,12,15,0.988347,0.981510,0.976994,0.007207,0.979247,0.014743,0.228389,0.440825
